INDEX_BATTLE	IS_VICTORY	DURATION	ALIVE_DRONES	ALIVE_TURRETS	REMAINING_CUMMULATIVE_HEALTH_POINTS
0	1	52	6	0	100
1	1	38	8	0	115
2	1	43	10	1	275
3	1	45	5	0	100
4	1	78	6	0	85
5	1	45	8	0	185
6	1	46	8	0	95
7	1	57	6	0	50
8	1	53	9	0	240
9	1	53	7	0	140
10	1	45	11	0	185
11	1	46	6	0	90
12	1	56	12	0	240
13	1	42	13	0	415
14	1	54	3	0	45
15	1	52	5	0	50
16	1	38	11	0	245
17	1	53	3	0	20
18	1	61	10	0	215
19	1	79	1	0	25
