INDEX_BATTLE	IS_VICTORY	DURATION	ALIVE_DRONES	ALIVE_TURRETS	REMAINING_CUMMULATIVE_HEALTH_POINTS
0	1	40	10	0	325
1	1	41	11	1	330
2	1	57	9	0	190
3	1	79	6	0	110
4	1	47	9	0	205
5	1	63	4	0	55
6	1	56	10	0	145
7	1	38	13	0	350
8	1	51	12	0	225
9	1	46	12	0	290
10	1	57	12	0	340
11	1	54	6	0	150
12	1	62	3	0	20
13	1	43	9	0	135
14	1	44	2	0	55
15	1	47	8	0	180
16	1	54	8	0	120
17	1	40	6	0	90
18	1	51	3	0	45
19	1	56	5	0	100
