INDEX_BATTLE	IS_VICTORY	DURATION	ALIVE_DRONES	ALIVE_TURRETS	REMAINING_CUMMULATIVE_HEALTH_POINTS
4	1	43	8	0	190
5	1	71	8	0	90
6	0	64	0	0	0
7	0	46	0	0	0
8	1	61	10	0	235
9	1	44	2	0	25
10	1	66	4	0	70
11	1	47	8	1	160
12	1	42	12	0	310
13	1	54	1	0	0
14	0	54	0	0	0
15	1	39	10	0	220
16	0	45	0	0	0
17	1	60	11	0	280
18	0	88	0	0	0
19	1	53	6	0	95
20	1	69	5	0	90
21	1	47	11	0	225
22	0	17	0	0	0
23	0	17	0	0	0
24	0	25	0	0	0
